Room,Start,End,Condition,MoveItem,Repeat,Block
Room_94,B,B,stay,yes,B,7
Room_108,A,B,stay,yes,B,7
Room_72,B,A,walk,no,B,8
Room_41,A,B,walk,no,A,8
Room_76,A,A,walk,yes,A,8
Room_84,B,B,walk,yes,B,8
Room_9,B,A,walk,no,A,8
Room_3,A,B,walk,yes,A,8
Room_18,B,B,walk,no,B,8
Room_96,B,B,walk,yes,B,8
Room_70,B,B,walk,no,B,8
Room_73,B,A,walk,yes,A,8
Room_103,A,A,walk,yes,B,8
Room_30,A,A,walk,no,A,8
Room_86,A,B,walk,yes,B,8
Room_82,A,B,walk,no,A,8
Room_88,B,A,walk,yes,A,8
Room_6,A,A,walk,no,B,8
Room_44,A,B,stay,no,A,9
Room_31,A,B,stay,no,B,9
Room_46,B,B,stay,yes,A,9
Room_10,B,A,stay,yes,A,9
Room_102,A,A,stay,yes,A,9
Room_63,B,B,stay,no,B,9
Room_16,A,B,stay,yes,A,9
Room_91,B,B,stay,no,B,9
Room_35,A,B,stay,yes,A,9
Room_26,A,A,stay,no,A,9
Room_52,A,A,stay,yes,B,9
Room_91,B,A,stay,yes,A,9
Room_1,B,A,stay,no,A,9
Room_25,A,A,stay,no,A,9
Room_30,B,A,stay,no,B,9
Room_109,B,B,stay,yes,A,9
Room_109,B,A,walk,no,B,10
Room_87,B,A,walk,yes,B,10
Room_12,B,B,walk,yes,A,10
Room_114,A,A,walk,no,B,10
Room_105,B,A,walk,no,B,10
Room_38,B,A,walk,yes,B,10
Room_79,B,B,walk,yes,B,10
Room_97,A,A,walk,no,A,10
Room_67,A,A,walk,yes,A,10
Room_119,A,B,walk,yes,B,10
Room_90,A,B,walk,no,A,10
Room_46,B,B,walk,no,B,10
Room_58,A,B,walk,no,A,10
Room_28,B,B,walk,yes,B,10
Room_107,A,B,walk,no,B,10
Room_113,A,A,walk,yes,B,10
